Date,Price,Volume,% change in vs yesterday,Is ATH,Last 7 days growth,Prediction
43375,6610,28245.81009,0,0,0.025583737,0
43376,6525.79,28451.96914,-0.01,0,0.008959715,0
43377,6510.01,20074.30082,0,0,-0.026776317,1
43378,6591.69,16096.55239,0.01,0,-0.006464614,1
43379,6635.65,10939.50539,0.01,0,0.005758102,0
43380,6596.44,17406.83176,-0.01,0,-0.004546847,1
43381,6615.26,23123.41954,0,0,0.000795764,1
43382,6673.01,15354.77947,0.01,0,0.022559721,0
43383,6656.67,15390.66144,0,0,0.022528383,0
43384,6630.21,48712.40033,0,0,0.005843721,0
43385,6252.71,29004.07142,-0.06,0,-0.057709493,1
43386,6298,19098.07003,0.01,0,-0.045242585,1
43387,6332.92,15627.41131,0.01,0,-0.042680106,1
43388,6339.34,90748.03125,0,0,-0.050002922,1
43389,6752.5,27557.95776,0.07,0,0.014396087,1
43390,6762.76,26641.43138,0,0,0.019991825,0
43391,6739.01,20116.52194,0,0,0.077774277,0
43392,6618.96,20772.60077,-0.02,0,0.05096221,0
43393,6528.88,19240.72225,-0.01,0,0.030943072,1
43394,6585.72,6515.357792,0.01,0,0.038865245,1
43395,6590.12,16213.69266,0,0,-0.02404739,0
43396,6581.2,13856.60176,0,0,-0.026847027,0
43397,6553.51,11951.54398,0,0,-0.027526298,1
43398,6566.81,10342.70124,0,0,-0.007878881,0
43399,6528.13,9443.504156,-0.01,0,-0.000114874,1
43400,6538.63,7776.907864,0,0,-0.007150319,0
43401,6505.6,5743.933728,-0.01,0,-0.01282526,0
43402,6489.93,13827.22407,0,0,-0.013868291,0
43403,6344.5,8877.175385,-0.02,0,-0.031892833,0
43404,6330.01,12148.88822,0,0,-0.036060127,1
43405,6369.52,9099.035841,0.01,0,-0.024296391,1
43406,6410,9739.440679,0.01,0,-0.019672317,1
43407,6432.8,7661.241476,0,0,-0.011190359,0
43408,6388,10592.39494,-0.01,0,-0.01570587,1
43409,6485.85,8987.882156,0.02,0,0.022279139,0
43410,6468.99,11926.5657,0,0,0.021955732,1
43411,6522.73,14271.59112,0.01,0,0.024053618,1
43412,6578.46,13259.78928,0.01,0,0.026280811,0
43413,6479.84,11787.61658,-0.01,0,0.007312523,0
43414,6419.99,7714.829926,-0.01,0,0.005007827,1
43415,6435.16,8213.507117,0,0,-0.007815475,1
43416,6450.71,10132.78257,0,0,-0.002825789,0
43417,6451.68,11790.56493,0,0,-0.010892678,1
43418,6458.98,46478.964,0,0,-0.018162305,0
43419,5917.2,47700.8294,-0.08,0,-0.086829304,0
43420,5757.09,38721.80227,-0.03,0,-0.103255613,0
43421,5650.57,26411.24141,-0.02,0,-0.121922376,0
43422,5630.49,23844.99935,0,0,-0.127151895,1
43423,5661.94,70580.89286,0.01,0,-0.122408427,0
43424,4913.4,117380.9516,-0.13,0,-0.239291653,0
43425,4559.91,61071.82948,-0.07,0,-0.22938045,1
43426,4661.08,34531.11914,0.02,0,-0.190375693,0
43427,4370.9,49371.92032,-0.06,0,-0.226467418,1
43428,4415.63,61693.11101,0.01,0,-0.215764525,0
43429,3933.68,101693.9756,-0.11,0,-0.305241666,1
43430,4088.69,94504.86572,0.04,0,-0.167849147,0
43431,3864.45,67480.60721,-0.05,0,-0.152516168,1
43432,3875.63,91983.56795,0,0,-0.168512448,1
43433,4262.06,73980.19867,0.1,0,-0.02490105,1
43434,4295.72,67758.44628,0.01,0,-0.027155808,0
43435,4041.27,44840.07348,-0.06,0,0.027350979,1
43436,4190.98,38912.15479,0.04,0,0.025017793,0
43437,4160.55,49094.36916,-0.01,0,0.076621511,0
43438,3884.76,48489.55161,-0.07,0,0.002355746,1
43439,3950.98,44004.79945,0.02,0,-0.072988179,0
43440,3768.44,68378.79694,-0.05,0,-0.12274543,0
43441,3508.75,95145.45744,-0.07,0,-0.131770458,0
43442,3403.57,55365.94995,-0.03,0,-0.187882071,1
43443,3411.36,45956.8933,0,0,-0.180069943,1
43444,3548.49,40989.24455,0.04,0,-0.086561332,0
43445,3434.01,35920.86415,-0.03,0,-0.130846018,0
43446,3379.23,33922.93129,-0.02,0,-0.103281464,1
43447,3446.38,40040.91701,0.02,0,-0.017775561,0
43448,3302.06,44492.98381,-0.04,0,-0.029824567,0
43449,3225.19,29796.04144,-0.02,0,-0.054573543,0
43450,3211.71,24628.80854,0,0,-0.094907975,1
43451,3229.22,66762.21639,0.01,0,-0.059635819,1
43452,3509.03,61369.61526,0.09,0,0.038411117,1
43453,3653,94137.34101,0.04,0,0.059952762,1
43454,3660.01,101543.836,0,0,0.108402028,1
43455,4051.86,82343.85011,0.11,0,0.256316682,0
43456,3840.25,42822.35087,-0.05,0,0.195702601,1
43457,3948.91,40117.53153,0.03,0,0.222868061,0
43458,3929.71,64647.80913,0,0,0.119884982,1
43459,4010.11,62725.62943,0.02,0,0.097758007,0
43460,3745.56,42629.37582,-0.07,0,0.023374253,1
43461,3777.74,44097.39291,0.01,0,-0.06765288,0
